ActuatorForces																																			
version=1																																			
nRows=82																																			
nColumns=36																																			
inDegrees=no																																			
																																			
"This file contains either the forces, speeds, or powers developed"																																			
by the actuators of a model during a simulation.																																			
																																			
"An actuator force is a generalized force, meaning that it can be either a force (N) or a torque (Nm)."																																			
																																			
"An actuator speed is the rate at which an actuator shortens. Depending on the actuator,"																																			
a speed can be either a translational speed (m/s) or an angular speed (deg/s or rad/s).																																			
																																			
An actuator power (Watts) is the rate at which an actuator does work.  Positive power means																																			
that the actuator is delivering energy to the model; negative power means that the actuator																																			
is absorbing energy from the model.																																			
																																			
"Units are S.I. units (second, meters, Newtons, ...)"																																			
Angles are in degrees.																																			
																																			
endheader																																			
time	glut_med2_r	add_mag2_r	glut_max2_r	iliacus_r	rect_fem_r	vas_int_r	med_gas_r	tib_ant_r	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve				
0.804443557	553.3787993	299.4380297	439.8371482	18.37571792	34.41379031	852.2354048	368.8161522	28.11918726	2.878332582	-5.715628563	-3.680967292	-5.244506864	7.387627321	3.429185169	-10.53247186	-5.91943386	2.673083402	0.000977311	0.844714171	11.92810632	0.045462618	18.38776324	4.163949256	-1.382581466	5.147991113	-2.584782511	0.025126352	0.168913492	39.20237085	-41.56454178	-5.233279947	0	-2.31584E+77	-2.31584E+77	28.92942103
0.810080851	540.589554	274.924151	428.6481905	18.65225731	34.64373384	857.373006	409.3652005	27.3608858	1.350286465	-5.458278038	-3.850458826	-4.41657123	7.319457393	-0.693480722	-9.25539113	-5.896016534	3.349621018	0.00103868	0.894301858	12.20558237	0.043436812	11.38039282	4.446647127	-0.610628875	4.552427084	-1.681376516	0.054423193	0.158734326	37.18961043	-39.48100301	-5.574527028	0	-2.31584E+77	-2.31584E+77	28.92942103
0.819974871	516.2284446	219.5315687	413.2076654	19.1562543	35.04344906	878.7633662	470.7688249	27.14645857	-1.834160348	-3.657774364	-2.360658093	-4.846666393	6.611075857	-7.937455949	-9.25539113	-5.896016534	3.349621018	0.00103868	0.894301858	12.20558237	0.043436812	11.38039282	4.446647127	-0.610628875	4.552427084	-1.681376516	0.054423193	0.158734326	37.18961043	-39.48100301	-5.574527028	0	-2.31584E+77	-2.31584E+77	28.92942103
0.823781936	510.5206609	200.7470118	409.7730008	19.33774467	35.15462197	887.6652573	492.9338829	26.99501504	-2.661277346	-3.04378452	-2.227738129	-5.174345533	6.477983911	-9.850499703	-7.330612126	-5.577517724	4.239907807	0.001080329	0.945122533	12.49138659	0.041895344	5.82774837	5.415252306	-0.035876702	4.18118194	-0.560036528	-0.002754388	0.136917648	35.20062109	-37.44658966	-5.87044897	0	-2.31584E+77	-2.31584E+77	28.92942103
0.830025049	502.4288874	175.4163392	405.5747974	19.55344651	35.21341833	898.3015142	534.5165093	26.36088258	-4.010293093	-2.037210886	-2.015671278	-5.716364788	6.260238699	-12.97314015	-5.329847626	-6.083168332	5.126587492	0.00109311	0.995001279	12.70658879	0.040869072	1.999754649	6.538905116	0.471365929	3.361690416	-0.57010844	0.050259029	0.114042736	33.4008022	-35.51866857	-6.131888603	0	-2.31584E+77	-2.31584E+77	28.92942103
0.84	489.9671439	147.1703626	401.2837907	19.90448624	35.22487895	896.9685582	601.5172099	26.16004083	-4.970082309	-0.204738421	-2.116091744	-7.732160741	5.511453038	-15.98440792	-5.329847626	-6.083168332	5.126587492	0.00109311	0.995001279	12.70658879	0.040869072	1.999754649	6.538905116	0.471365929	3.361690416	-0.57010844	0.050259029	0.114042736	33.4008022	-35.51866857	-6.131888603	0	-2.31584E+77	-2.31584E+77	28.92942103
0.846117296	481.9494444	134.9397962	399.3747157	20.0985254	35.17871767	883.146075	639.2835105	26.42486196	-5.434303025	0.930545149	-2.379457599	-9.497945524	4.658587924	-16.70537871	-3.451143673	-7.842356929	6.039067472	0.001097667	1.037320578	12.819292	0.040252974	-0.05617276	7.3028378	0.904207062	2.745444987	-0.577283645	0.074714651	0.093921433	31.62431914	-33.58839819	-6.424489575	0	-2.31584E+77	-2.31584E+77	28.92942103
0.8508271	476.0917124	127.2043421	397.9589972	20.22044549	35.100434	868.2535547	666.0291023	26.60762825	-5.811814916	1.758249055	-2.571717851	-10.88874507	3.953104329	-17.12302799	-2.22302383	-10.4865807	6.58184866	0.001071489	1.061941362	12.74704732	0.039991894	-0.664607606	7.680948895	1.218231641	2.399974088	-0.354136858	0.06571803	0.076154642	30.00903481	-31.52875983	-6.760728339	0	-2.31584E+77	-2.31584E+77	28.92942103
0.860007062	463.7576623	115.3655037	386.0589008	20.49086587	34.95180596	831.9174757	713.8898014	26.91180974	-6.731518504	2.946795656	-2.850417089	-13.88532588	2.130763072	-16.67852002	-2.127412949	-13.16501869	6.507858846	0.001033439	1.0677738	12.48496526	0.039987052	0.018421206	7.441007222	1.456725731	2.194865465	-0.218941021	0.056342391	0.061180918	28.76008164	-29.33805093	-7.145499771	0	-2.31584E+77	-2.31584E+77	28.92942103
0.87	451.4686996	105.1567096	359.4616541	20.80006364	34.7548466	780.2704537	758.3389196	27.42019576	-7.685788362	3.56590107	-3.323262929	-16.31796657	-0.28648669	-14.75072252	-2.127412949	-13.16501869	6.507858846	0.001033439	1.0677738	12.48496526	0.039987052	0.018421206	7.441007222	1.456725731	2.194865465	-0.218941021	0.056342391	0.061180918	28.76008164	-29.33805093	-7.145499771	0	-2.31584E+77	-2.31584E+77	28.92942103
